Jeff Nippard's Ultimate PPL Program - 6x/Week Spreadsheet;;;;;;;;;;;
Phase 1 - Base Hypertrophy (Moderate Volume, Moderate Intensity);;;;;;;;;;;
Week 1;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Bench Press;3-4;1;3-5;;8-9;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Larsen Press;0;2;10;;8-9;~3-4 min;"DB Bench Press 
(No Leg Drive)";"Machine Chest Press 
(No Leg Drive)";Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.;
;Standing Dumbbell Arnold Press;2;3;8-10;;8-9;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;A1. Press-Around;1;2;12-15;;9-10;0 min;DB Flye;Deficit Push Up;Brace with your non-working arm, squeeze your pecs by pressing the cable across your body;
;A2. Pec Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Cross-Body Cable Y-Raise (Side Delt);1;3;12-15;;9-10;~1-2 min;DB Lateral Raise;Machine Lateral Raise;"Think about swinging the cable out and up as if ""drawing a sword"" from your side";
;Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension;1;3;8 + 8;;9-10;~1-2 min;"Triceps Pressdown
(12-15 reps)";"DB Skull Crusher
(12-15 reps)";"Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")";
;N1-Style Cross-Body Triceps Extension;0;2;10-12;;10;~1-2 min;Single-Arm Tricep Pressdown;Single-Arm Cable Tricep Kickback;Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso;
Pull #1;Lat Pulldown (Feeder Sets);0;4;10;;See Notes;~2-3 min;Machine Pulldown;Pull-Up;Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.;
;Lat Pulldown (Failure Set);0;1;10+5;;10;~2-3 min;Machine Pulldown;Pull-Up;After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique;
;Omni-Grip Machine Chest-Supported Row;2;3;10-12;;8-9;~2-3 min;Incline Chest-Supported DB Row;Cable Seated Row;Use 3 different grips for the 3 working sets (ideally going from wider to closer);
;A1. Bottom-Half DB Lat Pullover;1;2;10-12;;9-10;0 min;Cable Lat Pullover;1-Arm Lat Pull-In;Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;A2. Lat Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
